Query,Match,HMDB,PubChem,KEGG,SMILES,Comment
C02165,Leukotriene B4,HMDB0001085,5280492,C02165,CCCCC\C=C/C[C@@H](O)\C=C\C=C\C=C/[C@@H](O)CCCC(O)=O,1
C14776,8-HETE,HMDB0004679,5283154,C14776,CCCCC\C=C/C\C=C/C=C/[C@@H](O)C\C=C/CCCC(O)=O,1
C15493,9-cis-Retinoic acid,HMDB0002369,449171,C15493,C\C(\C=C\C1=C(C)CCCC1(C)C)=C\C=C\C(\C)=C\C(O)=O,1
C14767,alpha-Dimorphecolic acid,HMDB0004670,5312830,C14767,CCCCC\C=C/C=C/[C@@H](O)CCCCCCCC(O)=O,1
C14762,13-HODE,HMDB0004667,6443013,C14762,CCCCC[C@H](O)\C=C\C=C/CCCCCCCC(O)=O,1
C00338,LPS with O-antigen,HMDB0013470,53481793,C00338,CCCCCCCCCCCCCC(=O)O[C@H](CCCCCCCCCCC)CC(=O)O[C@@H]1[C@@H](NC(=O)C[C@@H](CCCCCCCCCCC)OC(=O)CCCCCCCCCCC)[C@H](OC[C@H]2O[C@H](OP(O)(O)=O)[C@H](NC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H]2O)O[C@H](CO[C@@]2(C[C@@H](O[C@@]3(C[C@@H](O[C@@]4(C[C@@H](OP(O)(=O)OCCN)[C@H](O)[C@H](O4)[C@@H](O)CO)C(O)=O)[C@H](O)[C@H](O3)[C@@H](O)CO)C(O)=O)[C@H](OC3O[C@H]([C@@H](O)CO)[C@@H](OP(O)(=O)OP(O)(=O)OCCN)[C@H](OC4O[C@H]([C@@H](O)COC5O[C@H]([C@@H](O)CO)[C@@H](OP(O)(O)=O)[C@H](O)[C@@H]5O)[C@@H](O)[C@H](OC5O[C@H](CO[C@H]6O[C@H](CO)[C@H](O)[C@H](O)[C@H]6O)[C@@H](O)[C@H](O[C@H]6O[C@H](CO)[C@H](O)[C@H](O)[C@H]6OC6O[C@H](CO)[C@@H](O)[C@H](O[C@@H]7O[C@H](CO[C@@H]8O[C@H](CO)[C@@H](O)[C@H](O)[C@H]8NC(C)=O)[C@H](O)[C@H](O[C@@H]8O[C@H](CO)[C@H](O)[C@H](O[C@H]9O[C@H](CO[C@H]%10O[C@H](CO)[C@H](O)[C@H](O)[C@H]%10O)[C@H](O)[C@H](O)[C@H]9O)[C@H]8NC(C)=O)[C@H]7NC(C)=O)[C@H]6O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6NC(C)=O)[C@H]5O)[C@@H]4O)[C@@H]3O)[C@H](O2)[C@@H](O)CO)C(O)=O)[C@H]1OP(O)(O)=O,1
C00165,NA,NA,NA,NA,NA,0
C00575,Cyclic AMP,HMDB0000058,6076,C00575,[H][C@@]12COP(O)(=O)O[C@@]1([H])[C@@H](O)[C@@H](O2)N1C=NC2=C1N=CN=C2N,1
C05981,"Phosphatidylinositol-3,4,5-trisphosphate",HMDB0004249,NA,C05981,CC(=O)OC(COP(O)(=O)O[C@@H]1[C@H](O)[C@H](OP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@H]1O)OC(C)=O,1
C00076,Calcium,HMDB0000464,271,C00076,[Ca++],1
C01245,"myo-Inositol 1,4,5-trisphosphate",HMDB0001498,439456,C01245,O[C@@H]1[C@H](O)[C@@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@@H](O)[C@@H]1OP(O)(O)=O,1
C01330,Sodium,HMDB0000588,923,C01330,[Na+],1
C00002,Adenosine triphosphate,HMDB0000538,5957,C00002,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O,1
C00004,NADH,HMDB0001487,439153,C00004,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O,1
C13051,NA,NA,NA,NA,NA,0
C06124,Sphingosine 1-phosphate,HMDB0000277,5283560,C06124,CCCCCCCCCCCCC\C=C\[C@@H](O)[C@@H](N)COP(O)(O)=O,1
C00533,Nitric oxide,HMDB0003378,145068,C00533,[N]=O,1
C00942,Cyclic GMP,HMDB0001314,24316,C00942,NC1=NC2=C(N=CN2[C@@H]2O[C@@H]3COP(O)(=O)O[C@H]3[C@H]2O)C(=O)N1,1
C16003,NA,NA,NA,NA,NA,0
C16004,NA,NA,NA,NA,NA,0
C16005,NA,NA,NA,NA,NA,0
C00306,Bradykinin,HMDB0004246,439201,C00306,N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)NCC(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CO)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CCCNC(N)=N)C(O)=O,1
C00212,Adenosine,HMDB0000050,60961,C00212,NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1,1
C00027,Hydrogen peroxide,HMDB0003125,784,C00027,OO,1
C00144,Guanosine monophosphate,HMDB0001397,6804,C00144,NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1,1
C03758,Dopamine,HMDB0000073,681,C03758,NCCC1=CC(O)=C(O)C=C1,1
C01312,Prostaglandin I2,HMDB0001335,5282411,C01312,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)C[C@@H]2OC(C[C@H]12)=CCCCC(O)=O,1
C00780,Serotonin,HMDB0000259,5202,C00780,NCCC1=CNC2=C1C=C(O)C=C2,1
C01996,Acetylcholine,HMDB0000895,187,C01996,CC(=O)OCC[N+](C)(C)C,1
C00334,gamma-Aminobutyric acid,HMDB0000112,119,C00334,NCCCC(O)=O,1
C00788,Epinephrine,HMDB0000068,5816,C00788,CNC[C@H](O)C1=CC(O)=C(O)C=C1,1
C00288,Hydrogen carbonate,HMDB0000595,767,C00288,OC(O)=O,1
C16010,NA,NA,NA,NA,NA,0
C16012,NA,NA,NA,NA,NA,0
C16013,NA,NA,NA,NA,NA,0
C15949,NA,NA,NA,NA,NA,0
C16022,NA,NA,NA,NA,NA,0
C16021,NA,NA,NA,NA,NA,0
C00186,Lactic acid,HMDB0000190,107689,C00186,C[C@H](O)C(O)=O,1
C00547,Norepinephrine,HMDB0000216,439260,C00547,NC[C@H](O)C1=CC(O)=C(O)C=C1,1
C16048,NA,NA,NA,NA,NA,0
C15906,NA,NA,NA,NA,NA,0
C16088,NA,NA,NA,NA,NA,0
C16089,NA,NA,NA,NA,NA,0
C18182,NA,NA,NA,NA,NA,0
C02017,NA,NA,NA,NA,NA,0
C16119,NA,NA,NA,NA,NA,0
C20792,NA,NA,NA,NA,NA,0
C01089,3-Hydroxybutyric acid,HMDB0000011,441,C01089,C[C@@H](O)CC(O)=O,1
C20793,NA,NA,NA,NA,NA,0
C00042,Succinic acid,HMDB0000254,1110,C00042,OC(=O)CCC(O)=O,1
C00584,Prostaglandin E2,HMDB0001220,5280360,C00584,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O,1
C00746,Oxytocin,HMDB0002865,53477758,C00746,CC[C@H](C)[C@@H]1NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)[C@@H](N)CSSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O)C(=O)N1CCCC1C(=O)N[C@@H](CC(C)C)C(=O)NCC(N)=O,1
C00416,PA(16:0/16:0),HMDB0000674,446066,C00416,[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COP(O)(O)=O)OC(=O)CCCCCCCCCCCCCCC,1
C00704,Superoxide,HMDB0002168,5359597,C00704,[O][O-],1
C00007,Oxygen,HMDB0001377,977,C00007,O=O,1
C14818,Fe2+,HMDB0000692,27284,C14818,[Fe++],1
C00072,Ascorbic acid,HMDB0000044,54670067,C00072,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,1
C00026,Oxoglutaric acid,HMDB0000208,51,C00026,OC(=O)CCC(=O)C(O)=O,1
C00008,ADP,HMDB0001341,6022,C00008,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O,1
C00020,Adenosine monophosphate,HMDB0000045,6083,C00020,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,1
C00025,L-Glutamate,NA,NA,C00025,NA,1
C00195,Cer(d18:1/12:0),HMDB0004947,5283562,C00195,[H][C@@](CO)(NC(=O)CCCCCCCCCCC)[C@H](O)\C=C\CCCCCCCCCCCCC,1
C16845,Peroxynitrite,HMDB0002179,123349,C16845,OON=O,1
C04637,PIP2(16:0/16:0),HMDB0010032,53480223,C04637,[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COP(O)(=O)O[C@H]1C(O)C(O)C(OP(O)(O)=O)[C@@H](OP(O)(O)=O)C1O)OC(=O)CCCCCCCCCCCCCCC,1
C00752,NA,NA,NA,NA,NA,0
C02135,Angiotensin II,HMDB0001035,172198,C02135,CC[C@H](C)[C@H](NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](N)CC(O)=O)C(C)C)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,1
C00681,1-Acyl-sn-glycerol 3-phosphate,METPA0067,NA,C00681,NA,1
C00639,Prostaglandin F2a,HMDB0001139,5283078,C00639,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)C[C@H](O)[C@@H]1C\C=C\CCCC(O)=O,1
C00410,Progesterone,HMDB0001830,5994,C00410,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,1
C00123,Leucine,HMDB0000687,6106,C00123,CC(C)C[C@H](N)C(O)=O,1
C00003,NAD,HMDB0000902,5892,C00003,NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP([O-])(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O,1
C00083,Malonyl-CoA,HMDB0001175,644066,C00083,CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(O)=O,1
C00665,"D-Fructose 2,6-bisphosphate",HMDB0001047,105021,C00665,OC[C@@]1(OP(O)(O)=O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O,1
C03582,Resveratrol,HMDB0003747,445154,C03582,OC1=CC=C(\C=C\C2=CC(O)=CC(O)=C2)C=C1,1
C07909,Sirolimus,HMDB0015015,5284616,C07909,[H][C@@]12CC[C@@H](C)[C@@](O)(O1)C(=O)C(=O)N1CCCC[C@@]1([H])C(=O)O[C@@]([H])(CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C2)OC)[C@H](C)C[C@@H]1CC[C@@H](O)[C@@H](C1)OC,1
C07151,"1,1-Dimethylbiguanide",HMDB0001921,4091,C07151,CN(C)C(=N)NC(N)=N,1
C07056,Isoproterenol,HMDB0015197,3779,C07056,CC(C)NCC(O)C1=CC(O)=C(O)C=C1,1
C14748,20-Hydroxyeicosatetraenoic acid,HMDB0005998,5283157,C14748,OCCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O,1
C16127,NA,NA,NA,NA,NA,0
C16125,NA,NA,NA,NA,NA,0
C13662,NA,NA,NA,NA,NA,0
C00219,Arachidonic acid,HMDB0001043,444899,C00219,CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O,1
C00290,Fibrin,HMDB0252249,439199,C00290,CNC(=O)CNC(=O)CN,1
C02198,Thromboxane A2,HMDB0001452,5280497,C02198,CCCCC[C@H](O)\C=C\[C@H]1O[C@H]2C[C@H](O2)[C@@H]1C\C=C/CCCC(O)=O,1
C00427,Prostaglandin H2,HMDB0001381,445049,C00427,CCCCC[C@H](O)\C=C\[C@H]1[C@H]2C[C@H](OO2)[C@@H]1C\C=C/CCCC(O)=O,1
C05956,Prostaglandin G2,HMDB0003235,5280883,C05956,[H][C@@](CCCCC)(OO)\C=C\[C@@]1([H])[C@@]2([H])C[C@]([H])(OO2)[C@]1([H])C\C=C/CCCC(O)=O,1
C20640,cyclic GMP-AMP,HMDB0060465,11181459,C20640,NC1=C2N=CN([C@@H]3O[C@@H]4COP(O)(=O)O[C@@H]5[C@@H](COP(O)(=O)O[C@H]4[C@H]3O)O[C@H]([C@@H]5O)N3C=NC4=C3NC(=N)N=C4O)C2=NC=N1,1
C01598,Melatonin,HMDB0001389,896,C01598,COC1=CC2=C(NC=C2CCNC(C)=O)C=C1,1
C13856,NA,NA,NA,NA,NA,0
C11695,Anandamide,HMDB0004080,5281969,C11695,CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)NCCO,1
C00064,Glutamine,HMDB0000641,5961,C00064,N[C@@H](CCC(N)=O)C(O)=O,1
C12284,Saccharin sodium anhydrous,NA,14428,C12284,NA,1
D08836,NA,NA,NA,NA,NA,0
C19378,NA,NA,NA,NA,NA,0
C11045,Aspartame,HMDB0001894,134601,C11045,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O,1
C00089,Sucrose,HMDB0000258,5988,C00089,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,1
C00095,D-Fructose,HMDB0000660,439709,C00095,OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O,1
C00031,D-Glucose,HMDB0000122,5793,C00031,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,1
C00208,D-Maltose,HMDB0000163,10991489,C00208,OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,1
C01327,Hydrochloric acid,HMDB0002306,313,C01327,Cl,1
C00130,Inosinic acid,HMDB0000175,8582,C00130,O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CNC2=O,1
C02265,D-Phenylalanine,HMDB0250791,NA,C02265,NC(CC1=CC=CC=C1)C(O)=O,1
C00133,D-Alanine,HMDB0001310,71080,C00133,C[C@@H](N)C(O)=O,1
C00740,D-Serine,HMDB0003406,71077,C00740,N[C@H](CO)C(O)=O,1
C00158,Citric acid,HMDB0000094,311,C00158,OC(=O)CC(O)(CC(O)=O)C(O)=O,1
C00149,Malic acid,HMDB0000156,222656,C00149,O[C@@H](CC(O)=O)C(O)=O,1
C00388,Histamine,HMDB0000870,774,C00388,NCCC1=CNC=N1,1
C00080,Hydrogen Ion,HMDB0059597,1038,C00080,[H+],1
C14768,"5,6-Epoxy-8,11,14-eicosatrienoic acid",HMDB0002190,5283202,C14768,CCCCC\C=C/C\C=C/C\C=C/CC1OC1CCCC(O)=O,1
C14769,"8,9-Epoxyeicosatrienoic acid",HMDB0002232,5283203,C14769,CCCCC\C=C/C\C=C/CC1OC1C\C=C/CCCC(O)=O,1
C06254,Lysophospholipid,NA,8493,C06254,NA,1
C06866,Capsaicin,HMDB0002227,1548943,C06866,COC1=C(O)C=CC(CNC(=O)CCCC\C=C\C(C)C)=C1,1
C05965,12(S)-HPETE,HMDB0004243,5280892,C05965,CCCCC\C=C/C[C@H](OO)\C=C\C=C/C\C=C/CCCC(O)=O,1
C05966,15(S)-HPETE,HMDB0004244,5280893,C05966,CCCCC[C@H](OO)\C=C\C=C/C\C=C/C\C=C/CCCC(O)=O,1
C04805,5-HETE,HMDB0011134,5280733,C04805,CCCCC\C=C/C\C=C/C\C=C/C=C/[C@@H](O)CCCC(O)=O,1
C04742,15-HETE,HMDB0003876,5280724,C04742,CCCCC[C@H](O)\C=C\C=C/C\C=C/C\C=C/CCCC(O)=O,1
C09179,Resiniferatoxin,NA,11371,C09179,NA,1
C12271,N-arachidonoyl dopamine,NA,5282105,C12271,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCCc1ccc(O)c(O)c1,1
C00469,Ethanol,HMDB0000108,702,C00469,CCO,1
C09155,Phorbol,NA,442070,C09155,CC1=C23(O)(C=C(CO)C2(O)C1=O)1C(C)(C)1(O)(O)3C,1
C00400,Menthol,HMDB0003352,16666,C00400,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,1
C20171,Icilin,NA,163311914,C20171,NA,1
C09844,Eucalyptol,HMDB0004472,2758,C09844,C[C@@]12CC[C@@H](CC1)C(C)(C)O2,1
C00903,Cinnamaldehyde,HMDB0003441,637511,C00903,O=C\C=C\C1=CC=CC=C1,1
C19317,Allyl isothiocyanate,HMDB0005843,5971,C19317,C=CCN=C=S,1
C07600,Allicin,HMDB0033963,65036,C07600,C=CCSS(=O)CC=C,1
C00808,Camphor,HMDB0059838,159055,C00808,[H][C@@]12CC[C@@](C)(C(=O)C1)C2(C)C,1
C00809,NA,NA,NA,NA,NA,0
C20698,2-Aminoethyl diphenylborinate,NA,172232418,C20698,NA,1
C12083,"5Z,7E,9E,14Z,17Z-eicosapentaenoic acid",NA,5282061,C12083,CC/C=C\C/C=C\CCC/C=C/C=C/C=C\CCCC(=O)O,1
C00369,Starch,METPA0036,NA,C00369,NA,1
C00162,Fatty acid,METPA0012,NA,C00162,NA,1
C16114,Cholecystokinin-8,NA,47205424,C16114,NA,1
C00951,Estradiol,HMDB0000151,5757,C00951,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,1
C02210,NA,NA,NA,NA,NA,0
C02465,Liothyronine,HMDB0000265,5920,C02465,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O,1
C01829,Thyroxine,HMDB0000248,5819,C01829,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O,1
C00638,Long-chain fatty acid,METPA0062,NA,C00638,NA,1
C13050,NA,NA,NA,NA,NA,0
C02140,Corticosterone,HMDB0001547,5753,C02140,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CCC4=CC(=O)CC[C@]4(C)[C@@]3([H])[C@@]([H])(O)C[C@]12C)C(=O)CO,1
C02107,D-Tartaric acid,HMDB0029878,439655,C02107,O[C@@H]([C@H](O)C(O)=O)C(O)=O,1
C00022,Pyruvic acid,HMDB0000243,1060,C00022,CC(=O)C(O)=O,1
C00238,Potassium,HMDB0000586,813,C00238,[K+],1
G00369,NA,NA,NA,NA,NA,0
C21011,[Protein]-N(epsilon)-(carboxymethyl)lysine,NA,273220340,C21011,NA,1
C21012,[Protein]-N(epsilon)-(carboxyethyl)lysine,NA,273220341,C21012,NA,1
C21013,[Protein]-pyrraline,NA,273220342,C21013,NA,1
C21014,[Protein]-pentosidine,NA,273220343,C21014,NA,1
C01780,Aldosterone,HMDB0000037,5839,C01780,[H][C@@]12CC[C@H](C(=O)CO)[C@]1(C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C)C=O,1
C00735,Cortisol,HMDB0000063,5754,C00735,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,1
C00762,Cortisone,HMDB0002802,222786,C00762,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,1
C16051,NA,NA,NA,NA,NA,0
C13523,NA,NA,NA,NA,NA,0
C16844,NA,NA,NA,NA,NA,0
C00070,Copper,HMDB0000657,27099,C00070,[Cu++],1
C00001,Water,HMDB0002111,962,C00001,O,1
D00110,NA,NA,NA,NA,NA,0
D07445,NA,NA,NA,NA,NA,0
D00842,NA,NA,NA,NA,NA,0
D02271,NA,NA,NA,NA,NA,0
D08233,NA,NA,NA,NA,NA,0
D08234,NA,NA,NA,NA,NA,0
C00698,Chloride ion,HMDB0000492,312,C00698,[Cl-],1
C06314,Lipoxin A4,HMDB0004385,5280914,C06314,CCCCC[C@H](O)\C=C\C=C/C=C/C=C/[C@@H](O)[C@@H](O)CCCC(O)=O,1
C11596,FMLP,NA,13761,C11596,NA,1
C20898,Lipoteichoic acid,HMDB0254121,155886516,C20898,CCCCCCCC=CCCCCCC(=O)OC(COC1OC(CO)C(O)C(OC2OC(C)C(N)C(O)C2NC(C)=O)C1O)COC(=O)CCCCCC,1
C04549,1-Phosphatidyl-1D-myo-inositol 3-phosphate,NA,NA,C04549,NA,1
C01194,1-Phosphatidyl-D-myo-inositol,NA,NA,C01194,NA,1
C01673,Calcitriol,HMDB0001903,5280453,C01673,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C,1
C04465,"alpha,alpha'-Trehalose 6,6'-bismycolate",NA,44256510,C04465,CCCCCC/C=C/CCCCCCCC(O)C(CCCCCCCCCCCCCC)C(=O)OCC1O(O2OC(COC(=O)C(CCCCCCCCCCCCCC)C(O)CCCCCCC/C=C/CCCCCC)(O)C(O)2O)C(O)C(O)1O,1
C19190,"Trehalose-6,6'-dibehenate",NA,124489862,C19190,NA,1
C18996,NA,NA,NA,NA,NA,0
C18995,NA,NA,NA,NA,NA,0
C07653,Flutamide,HMDB0014642,3397,C07653,CC(C)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F,1
C01227,Dehydroepiandrosterone,HMDB0000077,5881,C01227,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C,1
C00280,Androstenedione,HMDB0000053,6128,C00280,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,1
C00122,Fumaric acid,HMDB0000134,444972,C00122,OC(=O)\C=C\C(O)=O,1
C00777,all-trans-Retinoic acid,HMDB0001852,444795,C00777,C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C/C(O)=O,1
C00535,Testosterone,HMDB0000234,6013,C00535,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,1
C03917,Dihydrotestosterone,HMDB0002961,10635,C03917,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC(=O)CC[C@]12C,1
C00187,Cholesterol,HMDB0000067,5997,C00187,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,1
G10505,(GlcA)1 (GlcNAc)1 (*)2,NA,NA,G10505,NA,1
C00925,Heparan sulfate,HMDB0000693,53477715,C00925,CO[C@@H]1O[C@@H](COS(O)(=O)=O)[C@H](O[C@@H]2O[C@@H]([C@H](OC)[C@@H](O)[C@@H]2OS(O)(=O)=O)C(O)=O)[C@@H](O)[C@@H]1NOS(O)(=O)=O,1
G13063,NA,NA,NA,NA,NA,0
C16038,"1-Methyl-6-phenyl-1H-imidazo[4,5-b]pyridin-2-amine",HMDB0041008,1530,C16038,CN1C(N)=NC2=NC=C(C=C12)C1=CC=CC=C1,1
